hz,note,midi,string,fret,token_idx
329.6275569,E4,64,1,0,0
349.2282314,F4,65,1,1,1
369.9944227,F#4,66,1,2,2
391.995436,G4,67,1,3,3
415.3046976,G#4,68,1,4,4
440,A4,69,1,5,5
466.1637615,A#4,70,1,6,6
493.8833013,B4,71,1,7,7
523.2511306,C5,72,1,8,8
554.365262,C#5,73,1,9,9
587.3295358,D5,74,1,10,10
622.2539674,D#5,75,1,11,11
659.2551138,E5,76,1,12,12
698.4564629,F5,77,1,13,13
739.9888454,F#5,78,1,14,14
783.990872,G5,79,1,15,15
830.6093952,G#5,80,1,16,16
880,A5,81,1,17,17
932.327523,A#5,82,1,18,18
987.7666025,B5,83,1,19,19
1046.502261,C6,84,1,20,20
1108.730524,C#6,85,1,21,21
1174.659072,D6,86,1,22,22
1244.507935,D#6,87,1,23,23
1318.510228,E6,88,1,24,24
246.9416506,B3,59,2,0,25
261.6255653,C4,60,2,1,26
277.182631,C#4,61,2,2,27
293.6647679,D4,62,2,3,28
311.1269837,D#4,63,2,4,29
329.6275569,E4,64,2,5,30
349.2282314,F4,65,2,6,31
369.9944227,F#4,66,2,7,32
391.995436,G4,67,2,8,33
415.3046976,G#4,68,2,9,34
440,A4,69,2,10,35
466.1637615,A#4,70,2,11,36
493.8833013,B4,71,2,12,37
523.2511306,C5,72,2,13,38
554.365262,C#5,73,2,14,39
587.3295358,D5,74,2,15,40
622.2539674,D#5,75,2,16,41
659.2551138,E5,76,2,17,42
698.4564629,F5,77,2,18,43
739.9888454,F#5,78,2,19,44
783.990872,G5,79,2,20,45
830.6093952,G#5,80,2,21,46
880,A5,81,2,22,47
932.327523,A#5,82,2,23,48
987.7666025,B5,83,2,24,49
195.997718,G3,55,3,0,50
207.6523488,G#3,56,3,1,51
220,A3,57,3,2,52
233.0818808,A#3,58,3,3,53
246.9416506,B3,59,3,4,54
261.6255653,C4,60,3,5,55
277.182631,C#4,61,3,6,56
293.6647679,D4,62,3,7,57
311.1269837,D#4,63,3,8,58
329.6275569,E4,64,3,9,59
349.2282314,F4,65,3,10,60
369.9944227,F#4,66,3,11,61
391.995436,G4,67,3,12,62
415.3046976,G#4,68,3,13,63
440,A4,69,3,14,64
466.1637615,A#4,70,3,15,65
493.8833013,B4,71,3,16,66
523.2511306,C5,72,3,17,67
554.365262,C#5,73,3,18,68
587.3295358,D5,74,3,19,69
622.2539674,D#5,75,3,20,70
659.2551138,E5,76,3,21,71
698.4564629,F5,77,3,22,72
739.9888454,F#5,78,3,23,73
783.990872,G5,79,3,24,74
146.832384,D3,50,4,0,75
155.5634919,D#3,51,4,1,76
164.8137785,E3,52,4,2,77
174.6141157,F3,53,4,3,78
184.9972114,F#3,54,4,4,79
195.997718,G3,55,4,5,80
207.6523488,G#3,56,4,6,81
220,A3,57,4,7,82
233.0818808,A#3,58,4,8,83
246.9416506,B3,59,4,9,84
261.6255653,C4,60,4,10,85
277.182631,C#4,61,4,11,86
293.6647679,D4,62,4,12,87
311.1269837,D#4,63,4,13,88
329.6275569,E4,64,4,14,89
349.2282314,F4,65,4,15,90
369.9944227,F#4,66,4,16,91
391.995436,G4,67,4,17,92
415.3046976,G#4,68,4,18,93
440,A4,69,4,19,94
466.1637615,A#4,70,4,20,95
493.8833013,B4,71,4,21,96
523.2511306,C5,72,4,22,97
554.365262,C#5,73,4,23,98
587.3295358,D5,74,4,24,99
110,A2,45,5,0,100
116.5409404,A#2,46,5,1,101
123.4708253,B2,47,5,2,102
130.8127827,C3,48,5,3,103
138.5913155,C#3,49,5,4,104
146.832384,D3,50,5,5,105
155.5634919,D#3,51,5,6,106
164.8137785,E3,52,5,7,107
174.6141157,F3,53,5,8,108
184.9972114,F#3,54,5,9,109
195.997718,G3,55,5,10,110
207.6523488,G#3,56,5,11,111
220,A3,57,5,12,112
233.0818808,A#3,58,5,13,113
246.9416506,B3,59,5,14,114
261.6255653,C4,60,5,15,115
277.182631,C#4,61,5,16,116
293.6647679,D4,62,5,17,117
311.1269837,D#4,63,5,18,118
329.6275569,E4,64,5,19,119
349.2282314,F4,65,5,20,120
369.9944227,F#4,66,5,21,121
391.995436,G4,67,5,22,122
415.3046976,G#4,68,5,23,123
440,A4,69,5,24,124
82.40688923,E2,40,6,0,125
87.30705786,F2,41,6,1,126
92.49860568,F#2,42,6,2,127
97.998859,G2,43,6,3,128
103.8261744,G#2,44,6,4,129
110,A2,45,6,5,130
116.5409404,A#2,46,6,6,131
123.4708253,B2,47,6,7,132
130.8127827,C3,48,6,8,133
138.5913155,C#3,49,6,9,134
146.832384,D3,50,6,10,135
155.5634919,D#3,51,6,11,136
164.8137785,E3,52,6,12,137
174.6141157,F3,53,6,13,138
184.9972114,F#3,54,6,14,139
195.997718,G3,55,6,15,140
207.6523488,G#3,56,6,16,141
220,A3,57,6,17,142
233.0818808,A#3,58,6,18,143
246.9416506,B3,59,6,19,144
261.6255653,C4,60,6,20,145
277.182631,C#4,61,6,21,146
293.6647679,D4,62,6,22,147
311.1269837,D#4,63,6,23,148
329.6275569,E4,64,6,24,149
